module_id,module_code,module_title,department,primary_lead_name,omission_reason,description_preview,gap_aspect_count
module_7594a47f0c765669,MA2616,MA2616 - Linear and Abstract Algebra,Department of Mathematics,Dr Anne-Sophie Kaloghiros,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Aims to enlarge the set of technical tools of linear algebra and develop its applications to different problems, including construction and analysis of linear m...",0
module_78726c51345ca466,,Advanced Steel Design,Department of Civil and Environmental Engineering,Dr Rabee Shamass,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to introduce the concept of advanced steel design and composite construction and their applications in engineering, and to develop in depth und...",0
module_78a02f64bf8fa040,LX2610,LX2610 - Contract Law and Civil Justice Systems,Department of Social and Political Sciences,Dr Anna Tuckett,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module introduces students to the Law of Contract and the civil justice system, providing a solid foundation in the theoretical underpinnings of these lega...",0
module_7972137338281d55,GY3603,GY3603 - Leadership for Change,Department of Social and Political Sciences,Professor Nicola Ansell,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to develop the leadership and influence skills that will help you to promote forms of positive change within society and the environment (eithe...,0
module_7ae19f658636b57d,EN3621,EN3621 - English Special Project,Department of Arts and Humanities,Professor Jago Morrison,Narrow Domain (Below Interdisciplinary Aspect Thresholds),You will produce an extended piece of work totally 10000 words (500 word plan plus 9500 word dissertation) in which you will undertakes a programme of independe...,0
module_7b1190b312c0cec6,CY5601,CY5601 - Deconstructing Criminological Imaginations,Department of Social and Political Sciences,Dr Anamika Twyman-Ghoshal,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The module will support students to develop an in-depth understanding, awareness, and engagement with major theoretical trends and debates in contemporary crimi...",0
module_7b5c97e1c955d813,MS1706,"Blood, Circulation and Respiration",Brunel Medical School,Unassigned Lead,Sparse / Missing Syllabus Description,,0
module_7c653221056e201c,PX3628,PX3628 - Primary Source Workshop,Department of Social and Political Sciences,Dr Paul Moody,Sparse / Missing Syllabus Description,,0
module_7c8db5c92f7bc22e,SP3615,"SP3615 - Issues in Physical Activity, Health and Wellbeing in the Life Course",Department of Life Sciences,Professor Louise Mansfield,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The aim of this module is to select, critically analyse and apply interdisciplinary knowledge and methods to understanding physical activity, health and wellbei...",0
module_7d24dbebd689af22,CY2612,CY2612 - Youth Crime and Youth Justice,Department of Social and Political Sciences,Dr Anamika Twyman-Ghoshal,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The module examines current trends in youth offending and explores media responses. Theoretical debates surrounding youth crime are considered through a number ...,0
